> -L"Shanchiao fault"
121.747469041	25.3122516359
121.737604474	25.3105099191
121.732320507	25.3057591801
121.727759581	25.2900173641
121.715903564	25.2843428526
121.699332431	25.2808394907
121.691380346	25.2683370012
121.679106185	25.257645407
121.671202991	25.2533821062
121.652265861	25.2484509388
121.632513972	25.2428340444
121.627563846	25.235543765
121.61928271	25.23171991
121.612787248	25.2276850927
121.60808742	25.2254704605
121.599569861	25.2187015652
121.59149875	25.2117272782
121.589808151	25.2089290879
121.581631434	25.2065728596
121.573504062	25.2034755098
121.572008275	25.1980113555
121.569794484	25.1990285401
121.563566735	25.1954871009
121.55448616	25.1866105264
121.548689378	25.1818339568
121.537113619	25.1762324945
121.529577035	25.1663665727
121.524819911	25.1657551771
121.51622081	25.1582453654
121.501497648	25.1492136093
121.493048417	25.1461488305
121.488083477	25.1403816848
121.477984963	25.1359419603
121.468711218	25.1291597818
121.466085746	25.1255693697
121.463016575	25.1165822488
121.45968718	25.1133794841
121.451001035	25.1046378839
121.445817505	25.0938002971
121.44099625	25.0890384147
121.433520275	25.0774217237
121.431889329	25.0701409386
121.431443256	25.0629641943
121.426653291	25.0484174253
121.421276913	25.0409687035
121.415891432	25.0306255629
121.412503982	25.0282745767
121.410771868	25.0187720922
121.411991557	25.013698163
121.412048162	25.0075006572
121.41527171	25.0008717921
121.418488955	24.9924822589
> -L"Shuanglienpo structure"
121.183234178	24.95927995
121.175588797	24.9588321639
121.1640568	24.9571315786
121.153274629	24.9534870957
121.147128898	24.9491518269
121.12129541	24.9298669587
121.116279895	24.9258722214
121.10878479	24.9192786555
> -L"Yangmei structure"
121.26821824	24.9201372989
121.26199714	24.9214669624
121.253499076	24.9235950274
121.245696627	24.9240851603
121.235338668	24.9236448731
121.22548497	24.9248787586
121.220820021	24.9318930211
121.216142323	24.9318998773
121.211464623	24.9319065867
121.203610514	24.9305465319
121.197175228	24.9283463644
121.190740169	24.9261459172
121.17870487	24.9209815232
121.172020268	24.9190090604
121.165335876	24.9170362963
121.157818248	24.9164351105
121.150468839	24.9167473726
121.139660091	24.9156915568
121.134394219	24.9118880717
121.12699975	24.905392521
121.119934396	24.9001707472
121.111370376	24.8967724514
121.098531119	24.8923796401
121.090960178	24.8921071011
121.078007196	24.8915155505
121.069460133	24.8897690944
> -L"Hukou fault"
121.267198299	24.9018483846
121.262614327	24.9022170038
121.252687524	24.9035086222
121.244336721	24.9036748655
121.235309085	24.9051217541
121.230543983	24.9045363117
121.221174281	24.9067554217
121.213572351	24.9078472074
121.205759049	24.9064750501
121.197576202	24.9074001092
121.190894382	24.9069518113
121.178048045	24.9056457639
121.164763102	24.9053552635
121.159655536	24.9033325247
121.151149819	24.8979513158
121.140100626	24.89162251
121.133837694	24.8914759247
121.124347875	24.8911787174
121.114555423	24.8935753511
121.105283635	24.8927222139
121.099104543	24.8900454908
121.093166887	24.8854135126
121.091228579	24.883891373
121.08025313	24.884740386
121.073194689	24.8819356651
121.063679067	24.876065762
121.056129461	24.875167515
121.047472655	24.8769043441
121.039905668	24.8696685567
121.034670015	24.8590614422
> -L"Fengshan River strike-slip structure"
121.244980627	24.8165170723
121.236648583	24.8162453316
121.227383445	24.8182557949
121.220409238	24.8202623266
121.214223883	24.8208416264
121.208185387	24.8220858302
121.198812156	24.8221936372
121.192566239	24.8241503768
121.186320124	24.8261068562
121.172267663	24.8319694049
121.162378249	24.8362102863
121.149407688	24.8427823976
121.144825477	24.8437374273
121.126284877	24.8448948676
121.115557671	24.8471847943
121.108685306	24.8504692422
121.093793665	24.8572280165
121.085774303	24.8607022285
121.063796476	24.869457997
121.047472655	24.8769043441
121.037155389	24.8786996734
121.021934117	24.8852798921
121.014665672	24.8861294547
120.99980357	24.8863718109
120.988341174	24.8868466135
120.980525667	24.8883666231
120.970834035	24.8908363832
120.961245574	24.8953966716
> -L"Hsinchu fault"
121.048222685	24.7943167342
121.036726065	24.7977965526
121.031375657	24.7987403462
121.026688586	24.7986539311
121.014181529	24.7990571555
120.999662656	24.803970647
120.993779755	24.804541776
120.982389798	24.8021415855
120.97700778	24.8015695972
120.970498207	24.7980405485
120.956201696	24.7943148338
120.948915928	24.7918833018
120.939420435	24.7906639643
120.928367895	24.788356966
> -L"Hsincheng fault"
121.074693072	24.7901023584
121.07011168	24.7901045744
121.064488521	24.7890615223
121.057719775	24.7872582825
121.054907944	24.785928601
121.046993782	24.7829846565
121.041994871	24.7790889738
121.036717196	24.7748785805
121.027000997	24.7719634559
121.021274389	24.7678770982
121.010863633	24.7638859851
120.991813219	24.7635059428
120.983277313	24.7610338516
120.976199022	24.7589417247
120.970162893	24.7527621853
120.960901012	24.7455360048
> -L"Hsinchu frontal structure"
120.924576512	24.7854200173
120.919885084	24.7828469143
120.918388372	24.7751341031
120.917427832	24.7701340937
120.915204616	24.7644212064
120.913988693	24.7585079643
120.912191782	24.7550444481
120.907520516	24.749215403
120.906225169	24.7444674298
120.891492751	24.7375260649
120.882129558	24.7334019976
120.877450053	24.7294416485
120.873354282	24.7274064786
120.867448369	24.7211991368
120.86640002	24.7162257193
> -L"Touhuanping structure"
121.035074499	24.6840844119
121.025322474	24.6839860114
121.013019111	24.6831374025
121.007557261	24.6817119644
120.997570186	24.6798110515
120.987999353	24.6797630646
120.969621805	24.680011776
120.956733475	24.6812446589
120.941530855	24.6802875842
120.937881445	24.6766852
120.931640609	24.6751140951
120.919860206	24.6741102026
120.902933453	24.6696089069
120.88733326	24.6661047745
120.874540247	24.6647401136
120.860738869	24.6641870305
120.835640878	24.6659533203
